,time,origin,value
366,1675539000000.0,3,268.2486572265625
367,1675539900000.0,3,268.2029724121094
368,1675540800000.0,3,269.231689453125
369,1675541700000.0,3,269.6446228027344
370,1675542600000.0,3,269.6313781738281
371,1675543500000.0,3,269.6607360839844
372,1675544400000.0,3,269.66259765625
373,1675545300000.0,3,269.6563720703125
374,1675546200000.0,3,269.6445007324219
375,1675547100000.0,3,269.64306640625
376,1675548000000.0,3,269.6355285644531
377,1675548900000.0,3,269.630126953125
378,1675549800000.0,3,269.61614990234375
379,1675550700000.0,3,269.6141052246094
380,1675551600000.0,3,269.6289367675781
381,1675552500000.0,3,269.63055419921875
382,1675553400000.0,3,269.63720703125
383,1675554300000.0,3,269.628662109375
384,1675555200000.0,3,269.53460693359375
385,1675556100000.0,3,269.4618225097656
386,1675557000000.0,3,269.4518737792969
387,1675557900000.0,3,269.4764404296875
388,1675558800000.0,3,269.50506591796875
389,1675559700000.0,3,269.5031433105469
390,1675560600000.0,3,269.487548828125
391,1675561500000.0,3,269.4754638671875
392,1675562400000.0,3,269.4625244140625
393,1675563300000.0,3,269.45184326171875
394,1675564200000.0,3,269.45819091796875
395,1675565100000.0,3,269.5019836425781
396,1675566000000.0,3,269.5661926269531
397,1675566900000.0,3,269.6185607910156
398,1675567800000.0,3,269.6365661621094
399,1675568700000.0,3,269.6159973144531
400,1675569600000.0,3,269.56005859375
401,1675570500000.0,3,269.440673828125
402,1675571400000.0,3,269.3047790527344
403,1675572300000.0,3,269.212158203125
404,1675573200000.0,3,269.1039123535156
405,1675574100000.0,3,269.0052185058594
406,1675575000000.0,3,268.9033203125
407,1675575900000.0,3,268.8973693847656
408,1675576800000.0,3,268.698486328125
409,1675577700000.0,3,268.6724853515625
410,1675578600000.0,3,268.69012451171875
411,1675579500000.0,3,268.74359130859375
412,1675580400000.0,3,268.8023376464844
413,1675581300000.0,3,268.83953857421875
414,1675582200000.0,3,268.8952941894531
415,1675583100000.0,3,268.9705505371094
416,1675584000000.0,3,269.12823486328125
417,1675584900000.0,3,269.25537109375
418,1675585800000.0,3,269.35736083984375
419,1675586700000.0,3,269.4120788574219
420,1675587600000.0,3,269.4482727050781
421,1675588500000.0,3,269.5439758300781
422,1675589400000.0,3,269.6601257324219
423,1675590300000.0,3,269.7532653808594
424,1675591200000.0,3,269.8792724609375
425,1675592100000.0,3,269.9573669433594
426,1675593000000.0,3,269.994873046875
427,1675593900000.0,3,270.0675354003906
428,1675594800000.0,3,270.0870361328125
429,1675595700000.0,3,270.1405334472656
430,1675596600000.0,3,270.2847595214844
431,1675597500000.0,3,270.3365783691406
432,1675598400000.0,3,270.3099365234375
433,1675599300000.0,3,270.317138671875
434,1675600200000.0,3,270.2932434082031
435,1675601100000.0,3,270.36041259765625
436,1675602000000.0,3,270.2986145019531
437,1675602900000.0,3,270.25897216796875
438,1675603800000.0,3,270.2335205078125
439,1675604700000.0,3,270.2539978027344
440,1675605600000.0,3,270.1600646972656
441,1675606500000.0,3,269.8982849121094
442,1675607400000.0,3,269.4915771484375
443,1675608300000.0,3,269.3398742675781
444,1675609200000.0,3,267.44720458984375
445,1675610100000.0,3,269.0309753417969
